0,0,0,0,9,ap_hi;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,891,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,892,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,893,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,894,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,895,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,896,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,897,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,898,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,899,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,900,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,901,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,902,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,903,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,904,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,905,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,906,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,907,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,908,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,909,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,910,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,911,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,912,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,913,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,914,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,915,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,916,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,917,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,918,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,919,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,920,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,921,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,922,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,923,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,924,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,925,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,926,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,927,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,928,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,929,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,930,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,931,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,932,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,933,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,934,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,935,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,936,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,937,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,938,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,939,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,940,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,941,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,942,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,943,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,944,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,945,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,946,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,947,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,948,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,949,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,950,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,951,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,952,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,953,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,954,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,955,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,956,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,957,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,958,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,959,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,960,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,961,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,962,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,963,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,964,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,965,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,966,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,967,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,968,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,969,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,970,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,971,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,972,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,973,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,974,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,975,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,976,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,977,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,978,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,979,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,980,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,981,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,982,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,983,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,984,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,985,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,986,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,987,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,988,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,989,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,990,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,991,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,992,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,993,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,994,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,995,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,996,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,997,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,998,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
2,999,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,0,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,1,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,2,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,3,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,4,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,5,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,6,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,7,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,8,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,9,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,10,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,11,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,12,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,13,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,14,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,15,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,16,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,17,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,18,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,19,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,20,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,21,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,22,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,23,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,24,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,25,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,26,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,27,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,28,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,29,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,30,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,31,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,32,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,33,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,34,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,35,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,36,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,37,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,38,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,39,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,40,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,41,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,42,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,43,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,44,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,45,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,46,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,47,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,48,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,49,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,50,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,51,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,52,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,53,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,54,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,55,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,56,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,57,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,58,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,59,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,60,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,61,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,62,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,63,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,64,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,65,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,66,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,67,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,68,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,69,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,70,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,71,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,72,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,73,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,74,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,75,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,76,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,77,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,78,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,79,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,80,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,81,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,82,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,83,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,84,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,85,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,86,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,87,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,88,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,89,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,90,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,91,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,92,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,93,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,94,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,95,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,96,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,97,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,98,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,99,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,100,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,101,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,102,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,103,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,104,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,105,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,106,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,107,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,108,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,109,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,110,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,111,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,112,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,113,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,114,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,115,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,116,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,117,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,118,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,119,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,120,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,121,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,122,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,123,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,124,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,125,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,126,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,127,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,128,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,129,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,130,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,131,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,132,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,133,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,134,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,135,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,136,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,137,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,138,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,139,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,140,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,141,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,142,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,143,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,144,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,145,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,146,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,147,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,148,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,149,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,150,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,151,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,152,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,153,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,154,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,155,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,156,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,157,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,158,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,159,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,160,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,161,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,162,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,163,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,164,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,165,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,166,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,167,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,168,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,169,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,170,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,171,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,172,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,173,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,174,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,175,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,176,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,177,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,178,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,179,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
3,180,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
